Name,Location,Qualifying,Years Running,Opening Date,Early Deadline,Regular Deadline,Final Deadline,Style,Max Short Runtime,Min Feature Runtime,Genre,Filmmaker Type,Budget,File Type: DCP,File Type: Online Screener,City Premiere Necessary,State Premiere Necessary,National Premiere Necessary,World Premiere Necessary,Completed After Date,Completed By Date,Festival Focus,Length
San Francisco International Film Festival,"San Francisco, CA, United States","Academy Award , Canadian Screen Award",68,14-Aug-24,26-Sep-24,14-Dec-24,12-Dec-24,"Narrative, Documentary, Animation",30,31,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time  Filmmakers, Bay Area Filmmakers",,Yes,Yes,Yes,Yes,Yes,Yes,1-Sep-24,,International ,"Short, Feature"
Aspen Shortsfest,"Aspen, CO, United States","Academy Award, BAFTA, Canadian Screen Award",34,1-Jul-24,2-Aug-24,27-Sep-24,8-Dec-24,"Animation, Comedy, Drama, Documentary",40,,"Comedy, Drama, Thriller, Science Fiction, Horror",Student,,Yes,Yes,Yes,Yes,Yes,,24-Mar,,,Short
Cinequest Film Festival,"San Jose, CA, United States",Academy Award ,34,1-May-24,12-Aug-24,12-Oct-24,25-Oct-24,"Narrative, Documentary, Animation, Music Video",40,50,"Comedy, Drama, Thriller, Science Fiction, Horror","Student, First Time  Filmmakers",,Yes,Yes,Yes,Yes,Yes,,,,,"Short, Feature"
Ann Arbor Film Festival (AAFF),"Ann Arbor, MI, United States",Academy Award ,63,1-Jul-24,22-Jul-24,31-Aug-24,30-Sep-24,"Experimental, Animation, Documentary, Narrative, Music ",59,60,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time  Filmmakers,  LGBTQIA+",,Yes,Yes,Yes,Yes,Yes,,,,,"Short, Feature"
Beverly Hills International Film Festival,"Beverly Hills, CA, United States",,25,10-Jul-24,10-Aug-24,20-Sep-24,20-Dec-24,"Narrative, Animation, Documentary",40,40,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, Beverly Hills Filmmaker ",,Yes,Yes,,,,,,,International ,"Short, Feature"
WorldFest-Houston International Film Festival,"Houston, TX, United States",Canadian Screen Award ,58,15-Aug-24,15-Dec-24,16-Dec-24,31-Jan-25,"Narrative, Experimental, Animation",,40,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",Student,,Yes,Yes,Yes,Yes,Yes,Yes,31-Dec-21,2024,International ,"Short, Feature"
Indy Shorts International Film Festival,"Indianapolis, IN, United States","Academy Award, BAFTA, Goya ",8,8-Aug-24,15-Dec-24,2-Mar-25,6-Apr-25,"Narrative, Documentary, Animation",40,,"Horror, Comedy","Indiana Filmmaker, Student",,Yes,Yes,,,,,1-Jan-24,,International ,Short
L.A. Film Fest / IFS Film Fest,"Los Angeles, CA, United States ",,34,28-Jun-24,9-Aug-24,20-Sep-24,21-Mar-25,"Narrative, Documentary, Experimental",,41,"Horror, Comedy","LGBTQIA+, Student",,Yes,Yes,,,,,,,,"Short, Feature"
Florida Film Festival,"Maitland, Florida, United States ",Academy Award ,33,12-Aug-24,30-Sep-24,8-Dec-24,22-Dec-24,"Narrative, Documentary, Experimental, Animation, Web Series ",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",Florida Filmmakers,,Yes,Yes,Yes,Yes,,,1-Jan-24,25-Apr,,"Short, Feature"
Seattle Film Festival,"Seattle, WA, United States",,9,30-May-24,26-Sep-24,7-Nov-24,28-Mar-25,"Narrative, Documentary",,,"Horror, Thriller, Comedy Horror, Science Fictioon, Environmental, Sports ","Seattle Filmmaker, Student,  LGBTQIA+",<100000,,,,,,,31-Dec-18,,,"Short, Feature"
Big Apple Film Festival,"New York, United States",,21,10-Apr-24,30-Apr-24,13-Aug-24,4-Oct-24,"Narrative, Animation, Documentary, Episodic ",,60 > ,"Horror, Comedy, Drama, Science Fiction,","Women Filmmakers, Student",,,Yes,,,,,1-Jan-22,,,"Short, Feature"
Shockfest Film Festival,,,15,11-Dec-23,19-Feb-24,17-Jun-24,27-Oct-24,"Narrative, Experimental",40,40 > ,"Horror, Science Fiction, Thriller, Drama, Fantasy, Comedy","Student,  LGBTQIA+",,,Yes,,,,,,,,"Short, Feature"
Dances With Films,"Los Angeles, CA, United States",,27,1-Aug-24,26-Aug-24,23-Sep-24,18-Oct-24,"Narrative, Documentary",40,40 > ,"Horror, Fantasy, Science Fiction, Drama, Comedy","Student, First Time  Filmmakers,   LGBTQIA+",,Yes,Yes,,,,,1-Jan-22,,,"Short, Feature"
DOC LA - Los Angeles Documentary Film Festival,"Los Angeles, CA, United States",,10,10-Sep-24,16-Dec-24,21-Apr-25,21-Aug-25,"Documentary, Animation, Experimental, Music Video",15,40,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",Los Angeles Filmmakers,,Yes,Yes,,,,,,,Documentary ,"Short, Feature"
Athens International Film and Video Festival,"Athens, Ohio, United States",Academy Award ,52,5-Aug-24,1-Sep-24,1-Oct-24,1-Dec-24,"Narrative, Animation, Documentary, Experimental",15,40,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Ohio Filmmakers, Student",,,Yes,,,,,,,International ,"Short, Feature"
American Black Film Festival,"Miami Beach, FL,  United States ",Academy Award ,29,10-Sep-24,15-Dec-24,28-Feb-25,9-May-25,"Narrative, Documentary, Web Series ",30,72,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",African Descent Filmmakers,,,Yes,,,,,1-Jan-24,,POC ,"Short, Feature"
Dallas International Film Festival,"Dallas, TX, United States ",Canadian Screen Award ,18,1-Jul-24,13-Dec-24,29-Jan-25,1-Mar-25,"Narrative, Documentary, Animation, Music Video",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Local Texas , LatinX, Indigenous , Student",,Yes,Yes,Yes,Yes,Yes,,,,International ,"Short, Feature"
New York Film Week,"New York, United States",,7,2-Oct-23,4-Dec-23,1-Jul-24,9-Sep-24,"Narrative, Documentary, Animation, Experimental, Music Video",45,45,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,Yes,Yes,Yes,,,1-Jan-23,,,"Short, Feature"
Austin Revolution Film Festival,"Austin, TX, United States",,13,13-Dec-23,11-Jan-24,12-Sep-24,12-Dec-24,"Narrative, Documentary, Web Series, Music Video",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, Central Texas Filmmakers, ",,,Yes,Yes,,,,,,,"Short, Feature"
RiverRun International Film Festival,"Winston-Salem, NC, United States",Academy Award ,26,1-Sep-24,30-Sep-24,31-Oct-24,15-Dec-24,"Narrative, Documentary, Animated",> 40 ,< 40 ,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Norrth Carolina Filmmaker, Student",,Yes,Yes,Yes,,,,1-Jan-23,,International ,"Feature, Short"
Big Sky Documentary Film Festival,"Missoula, MT, United States ",Academy Award ,22,15-May-24,30-Jun-24,31-Aug-24,13-Oct-24,Documentary,,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Indigenous  Filmmaker, Montana Filmmakers ",,15,Yes,,Yes,,,,1-Feb-25,Documentaries ,"Short, Feature"
deadCenter Film Festival,"Oklahoma City, OK, United States",Academy Award ,24,15-Aug-24,15-Oct-24,3-Jan-25,7-Feb-25,"Narrative, Documentary, Episodic, Animation ",40,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Indigenous, Oklahoma Filmmakers, Student, LGBTQIA+",,Yes,Yes,Yes,Yes,Yes,,1-Jan-24,1-May-25,,"Short, Feature"
Mammoth Lakes Film Festival,"Mammoth Lakes, CA, United States",,11,23-Jul-24,1-Oct-24,5-Dec-24,7-Mar-25,"Narrative, Documentary, Animation, Episodic",40,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","California Filmmakers, First Time  Filmmakers",,Yes,Yes,,,,,1-Jan-24,1-May-25,,"Short, Feature"
Miami Film Festival,"Miami, FL, United States",Academy Award ,42,1-Jul-24,1-Sep-24,1-Dec-24,1-Jan-25,"Narrative, Documentary",30,60,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Florida Filmmakers, International, Student, Ibero-American",,Yes,Yes,Yes,Yes,Yes,,1-Jan-24,18-Feb-25,,"Short, Feature"
NewFilmmakers Los Angeles (NFMLA),"Los Angeles, CA",,15,2-Jan-24,31-Mar-24,30-Sep-24,31-Dec-24,"Narrative, Documentary, Animation, Experimental, ",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time  Filmmakers Filmmakers, Student",,Yes,Yes,Yes,Yes,,Yes,1-Jan-23,,New Filmmakers ,"Short, Feature"
Hollywood Reel Film Festival,"Hollywood, CA",,26,21-Mar-24,14-Jun-24,2-Aug-24,10-Jan-25,"Narrative, Documentary, Animation, Experimental, Episodic, New Media",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time  Filmmakers Filmmakers,  LGBTQIA+, ",,Yes,Yes,Yes,Yes,Yes,Yes,1-Jan-24,12-Feb-25,,"Short, Feature"
Santa Monica Film Festival,"Santa Monica, CA",,19,6-Feb-24,26-Feb-24,10-Jun-24,4-Dec-24,"Narrative, Documentary, Episodic",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery", First Time  Filmmakers Filmmakers,,Yes,Yes,,,Yes,Yes,,15-Dec-24,,"Short, Feature"
Malibu Film Festival,"Malibu, CA, United States",,25,24-May-25,10-Jun-24,2-Sep-24,25-Nov-24,"Narrative, Documentary, Experimental, Episodic, Animation, New Media",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,<1000000,,Yes,,,,Yes,,,,"Short, Feature"
American Documentary And Animation Festival,"Palm Springs, CA, United States",Academy Award,14,25-Mar-24,14-Jun-24,11-Oct-24,13-Dec-24,"Documentary, Animation",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,<50000,Yes,,,,,,,,"Documentary, Animation ","Short, Feature"
Lady Filmmakers Festival,"Beverly Hills, CA, United States",,16,4-Aug-24,15-Sep-24,13-Mar-25,23-Jul-25,"Narrative, Documentary, Experimental, Episodic",50,50,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Female, DEI ",,Yes,,,,,,,,Female,"Short, Feature"
